	A-ID	BIOLOGY1	BIOLOGY2	BIOLOGY_prac	CHEMISTRY1	CHEMISTRY2	CHEMISTRY_prac	ENGLISH1	ENGLISH2	ISLAMIYAT1	ISLAMIYAT2	MATHEMATICS1	MATHEMATICS2	PAKSTUDIES1	PAKSTUDIES2	PHYSICS1	PHYSICS2	PHYSICS_prac	URDU1	URDU2
1459	806467	55	59	28.0	51	58	27.0	72	65.0	49	44	70	73	42	48.0	48	43	28.0	68	57
1460	806468	23	16	26.0	22	30	21.0	47	29.0	35	25	42	42	19	30.0	20	25	24.0	49	40
1461	806470	26	28	25.0	32	37	23.0	28	35.0	25	30	60	62	27	35.0	31	28	24.0	36	47
1462	806473	53	54	28.0	43	56	26.0	70	72.0	47	47	59	68	42	46.0	56	36	27.0	66	63
1463	806476	31	37	24.0	38	43	25.0	27	30.0	29	41	28	62	19	37.0	48	25	23.0	52	54
1464	806479	38	49	25.0	40	48	26.0	38	51.0	43	45	51	62	30	42.0	48	33	25.0	56	53
1465	806481	43	48	26.0	48	51	28.0	38	56.0	39	40	46	52	29	43.0	53	44	26.0	66	58
1466	806487	31	22	26.0	27	47	21.0	35	15.0	43	40	35	60	19	38.0	31	33	25.0	60	53
1467	806489	31	29	25.0	32	41	24.0	31	39.0	43	43	29	67	24	42.0	42	24	24.0	59	60
1468	806510	25	25	27.0	33	39	22.0	46	29.0	44	40	30	28	32	36.0	38	35	23.0	57	44
1469	806542	44	47	28.0	44	49	28.0	46	60.0	44	42	48	67	35	40.0	53	41	24.0	66	59
1470	806577	43	46	26.0	44	48	28.0	43	49.0	46	45	35	62	31	43.0	39	38	24.0	59	59
1471	806583	36	45	26.0	34	43	27.0	37	46.0	46	45	27	44	29	41.0	42	37	24.0	61	57
1472	806586	38	50	26.0	47	40	27.0	42	48.0	47	41	34	51	27	44.0	50	36	27.0	62	60
1473	806589	39	50	28.0	47	48	27.0	42	59.0	47	45	30	54	32	41.0	53	39	24.0	58	54
1474	806592	23	34	29.0	27	49	27.0	39	36.0	43	41	45	67	25	39.0	42	40	25.0	54	43
1475	806658	26	29	23.0	29	20	26.0	45	28.0	36	33	29	41	32	34.0	20	33	15.0	49	37
1476	806659	58	59	30.0	56	47	27.0	66	64.0	46	45	49	70	39	50.0	53	57	27.0	62	51
1477	806660	40	37	24.0	46	43	25.0	55	48.0	40	42	49	58	38	42.0	33	41	23.0	58	46
1478	806661	47	56	28.0	52	47	29.0	65	62.0	44	47	36	73	38	42.0	38	43	29.0	60	54
1479	806666	53	57	28.0	58	51	26.0	62	58.0	44	50	52	72	39	44.0	55	58	28.0	63	53
1480	806668	22	21	22.0	7	25	24.0	40	20.0	34	32	12	42	34	36.0	40	32	20.0	57	46
1481	806669	48	49	27.0	46	47	26.0	67	66.0	45	50	55	64	41	44.0	53	50	25.0	54	54
1482	806670	47	55	28.0	56	37	26.0	64	56.0	41	40	50	57	45	44.0	41	55	27.0	63	53
1483	806672	43	29	25.0	37	34	26.0	56	52.0	41	43	25	29	38	37.0	24	32	20.0	61	51
1484	806674	42	50	27.0	45	50	28.0	61	50.0	42	42	39	52	38	47.0	39	48	24.0	55	60
1485	806675	28	29	27.0	29	47	26.0	55	51.0	38	44	35	61	35	46.0	22	47	22.0	56	47
1486	806677	45	37	24.0	33	36	27.0	49	48.0	45	40	28	58	41	43.0	20	41	19.0	58	44
1487	806678	49	54	28.0	50	53	25.0	44	44.0	41	45	60	51	39	41.0	45	53	23.0	59	48
1488	806681	41	40	25.0	46	39	29.0	58	58.0	38	43	43	41	28	39.0	30	42	21.0	60	45
1489	806683	54	56	30.0	51	55	25.0	71	70.0	48	50	63	75	42	48.0	56	60	28.0	61	51
1490	806686	55	55	30.0	55	45	29.0	60	61.0	46	48	64	67	39	40.0	46	58	30.0	64	49
1491	806687	20	22	24.0	20	25	23.0	32	29.0	39	38	34	40	31	34.0	20	34	23.0	54	40
1492	806690	46	39	27.0	49	42	26.0	53	55.0	43	45	28	57	35	38.0	35	42	20.0	63	50
1493	806691	40	39	26.0	36	41	24.0	52	45.0	42	39	34	54	39	40.0	41	45	23.0	63	53
1494	806692	45	44	27.0	45	31	28.0	53	54.0	42	43	34	41	37	40.0	33	43	30.0	61	51
1495	806695	27	26	23.0	38	36	25.0	43	40.0	39	44	28	46	30	30.0	38	43	23.0	61	48
1496	806698	21	30	20.0	22	29	25.0	48	28.0	41	36	13	43	27	31.0	20	44	20.0	57	43
1497	806700	52	57	30.0	60	59	26.0	68	54.0	45	47	63	71	44	47.0	42	59	15.0	66	54
1498	806701	40	42	30.0	39	46	28.0	70	64.0	46	50	63	68	39	46.0	50	49	27.0	64	51
1499	806703	20	22	22.0	22	34	25.0	46	36.0	40	44	32	53	32	36.0	20	50	25.0	53	62
1500	806705	44	50	23.0	46	45	28.0	68	54.0	47	50	66	66	33	41.0	50	52	30.0	64	66
1501	806706	21	20	22.0	20	20	26.0	46	49.0	39	35	25	39	26	25.0	40	44	22.0	63	52
1502	806707	26	42	30.0	36	37	28.0	61	47.0	32	40	37	64	28	36.0	48	43	25.0	64	61
1503	806709	36	27	23.0	25	16	26.0	53	50.0	37	43	29	43	27	28.0	30	44	25.0	52	54
1504	806711	42	51	26.0	40	53	28.0	54	50.0	45	49	65	63	36	41.0	51	46	30.0	65	60
1505	806712	34	42	25.0	34	37	24.0	52	48.0	44	43	33	60	26	40.0	37	40	22.0	65	64
1506	806713	41	47	23.0	28	27	19.0	60	56.0	33	41	34	58	34	36.0	29	44	21.0	61	51
1507	806714	21	21	21.0	20	24	25.0	45	37.0	38	44	29	36	23	35.0	20	45	18.0	58	48
1508	806717	28	31	23.0	26	23	25.0	33	19.0	34	43	25	52	19	31.0	27	38	20.0	48	46
1509	806719	33	34	24.0	27	26	25.0	52	43.0	42	38	16	32	36	40.0	22	40	20.0	54	59
1510	806720	29	45	26.0	30	36	23.0	51	35.0	36	45	33	68	33	37.0	38	42	24.0	60	52
1511	806721	30	23	22.0	20	25	19.0	35	42.0	24	41	35	41	34	34.0	20	40	23.0	54	60
1512	806722	25	15	23.0	20	13	26.0	34	26.0	21	45	18	34	32	32.0	40	27	21.0	54	58
1513	806723	27	29	23.0	21	20	26.0	33	30.0	42	43	25	38	20	33.0	25	37	21.0	59	62
1514	806726	22	27	21.0	22	16	23.0	30	25.0	36	36	13	38	17	33.0	25	33	29.0	52	45
1515	806782	49	48	30.0	42	47	24.0	61	55.0	45	48	55	69	44	45.0	53	53	30.0	65	66
1516	806783	52	54	30.0	58	53	25.0	69	55.0	46	50	70	73	47	42.0	53	59	30.0	69	64
1517	806784	23	49	26.0	30	43	24.0	57	50.0	41	45	53	65	34	34.0	42	47	24.0	56	62
1518	806785	32	49	25.0	35	41	25.0	56	47.0	43	45	26	63	40	36.0	49	54	30.0	66	67
1519	806786	41	48	26.0	35	31	23.0	64	49.0	46	47	48	64	41	43.0	45	51	30.0	64	64
1520	806787	23	29	30.0	29	24	24.0	54	30.0	38	23	27	48	26	27.0	38	37	27.0	58	49
1521	806788	45	45	26.0	31	32	24.0	59	49.0	43	41	25	53	33	26.0	47	48	25.0	62	57
1522	806789	43	45	24.0	42	47	24.0	61	53.0	45	48	65	70	31	40.0	50	53	30.0	67	63
1523	806790	58	56	30.0	51	55	24.0	69	69.0	47	49	70	75	43	44.0	57	55	30.0	67	66
1524	806803	42	54	25.0	48	50	27.0	59	58.0	43	48	48	67	42	43.0	53	33	22.0	61	59
1525	806804	59	59	24.0	56	55	28.0	71	70.0	48	50	69	73	47	43.0	57	52	27.0	66	61
1526	806805	53	41	28.0	52	54	28.0	62	46.0	37	45	65	63	36	41.0	48	33	16.0	71	57
1527	806814	56	55	28.0	46	52	25.0	69	68.0	43	48	43	66	42	37.0	46	43	25.0	59	54
1528	806816	55	57	23.0	57	56	29.0	71	73.0	44	49	74	72	48	44.0	59	50	27.0	64	57
1529	806817	39	39	25.0	43	35	26.0	39	33.0	34	41	49	38	31	27.0	38	24	23.0	47	48
1530	806819	45	52	28.0	55	60	25.0	72	68.0	46	49	65	75	45	40.0	46	54	27.0	63	55
1531	806821	50	52	25.0	48	49	25.0	60	60.0	40	46	47	53	35	36.0	38	40	22.0	63	56
1532	806823	56	58	23.0	55	55	28.0	66	73.0	45	48	62	73	47	43.0	50	52	26.0	62	61
1533	806824	21	36	25.0	45	30	26.0	59	59.0	34	39	25	37	20	27.0	31	25	19.0	40	49
1534	806825	55	50	30.0	54	56	29.0	62	59.0	42	44	66	60	39	40.0	47	44	30.0	59	51
1535	806828	59	59	30.0	58	58	29.0	71	75.0	47	47	71	75	49	45.0	57	56	29.0	69	59
1536	806829	49	45	29.0	42	39	26.0	63	50.0	43	47	61	62	27	35.0	21	33	28.0	62	55
1537	806834	60	59	26.0	56	58	29.0	72	75.0	47	49	71	75	49	47.0	59	55	29.0	69	64
1538	806835	45	54	27.0	51	53	25.0	63	67.0	43	49	54	71	33	43.0	44	47	22.0	63	51
1539	806836	54	49	24.0	45	50	26.0	50	55.0	43	45	55	59	42	46.0	42	41	21.0	59	51
1540	806838	60	57	30.0	57	52	29.0	72	71.0	45	49	72	70	47	46.0	54	55	28.0	58	57
1541	806839	54	52	30.0	49	51	29.0	66	59.0	45	47	52	65	41	46.0	51	38	30.0	65	57
1542	806841	54	58	27.0	52	56	24.0	63	51.0	39	45	66	69	47	42.0	49	51	24.0	65	62
1543	806844	52	48	26.0	52	45	26.0	61	66.0	47	47	46	64	41	41.0	39	40	27.0	65	60
1544	806845	55	53	28.0	55	54	26.0	73	67.0	39	50	64	75	44	46.0	52	48	24.0	67	58
1545	806848	31	41	26.0	41	45	27.0	63	51.0	41	50	25	48	42	44.0	20	31	24.0	70	64
1546	806851	53	59	30.0	50	56	28.0	70	70.0	45	48	54	63	44	43.0	35	42	29.0	66	58
1547	806852	48	58	28.0	55	59	29.0	68	65.0	46	48	66	70	37	45.0	52	47	29.0	63	58
1548	806855	46	39	25.0	53	39	25.0	63	50.0	43	46	38	51	43	47.0	31	34	20.0	60	51
1549	806857	56	56	26.0	57	60	29.0	72	70.0	41	49	68	72	36	45.0	53	45	29.0	60	54
1550	806858	54	59	24.0	59	57	28.0	71	73.0	46	49	69	73	46	43.0	56	53	26.0	68	55
1551	806861	40	51	26.0	35	54	25.0	58	51.0	36	48	34	72	32	46.0	36	37	21.0	59	61
1552	806862	60	56	22.0	59	58	28.0	72	70.0	46	48	69	75	45	45.0	47	54	27.0	61	63
1553	806864	29	42	0.0	29	26	0.0	43	42.0	31	40	42	42	18	34.0	27	28	0.0	41	42
1554	806865	30	20	23.0	21	33	25.0	43	49.0	37	42	26	52	29	29.0	28	30	30.0	53	56
1555	806866	58	59	23.0	56	58	28.0	73	72.0	48	47	69	75	47	46.0	57	51	27.0	67	64
1556	806870	40	52	22.0	45	50	22.0	51	54.0	37	43	53	53	42	42.0	46	42	26.0	52	53
1557	806869	41	30	23.0	35	43	24.0	64	52.0	35	42	30	43	27	34.0	20	34	17.0	54	49
1558	806872	25	25	0.0	54	33	0.0	28	41.0	26	30	25	50	30	36.0	25	46	0.0	50	50
1559	806873	21	40	23.0	23	41	26.0	49	56.0	41	46	41	46	29	35.0	20	32	21.0	59	58
1560	806874	58	59	22.0	58	56	28.0	66	71.0	46	50	72	75	48	42.0	53	53	29.0	65	65
1561	806877	39	39	23.0	32	38	28.0	56	50.0	37	45	31	52	31	40.0	24	37	20.0	58	49
1562	806878	56	51	23.0	54	54	27.0	64	60.0	47	49	61	58	44	43.0	52	46	30.0	67	55
1563	806880	35	36	0.0	30	33	0.0	59	54.0	35	32	31	37	35	41.0	35	27	0.0	46	52
1564	806881	49	51	27.0	48	59	26.0	70	67.0	42	46	52	72	40	46.0	40	45	25.0	63	58
1565	806884	56	57	27.0	49	50	26.0	60	63.0	43	50	52	75	38	40.0	50	46	23.0	62	58
1566	806887	55	56	29.0	54	55	27.0	62	64.0	44	49	51	73	42	45.0	54	45	21.0	65	58
1567	806889	38	25	0.0	25	26	0.0	54	49.0	29	43	33	35	28	36.0	25	32	0.0	42	50
1568	806888	26	23	20.0	22	39	22.0	36	40.0	37	45	14	45	24	40.0	20	23	24.0	61	46
1569	806890	60	59	30.0	59	57	26.0	72	73.0	47	50	62	75	41	46.0	59	52	29.0	68	62
1570	806893	44	42	23.0	39	55	28.0	56	70.0	39	47	33	59	43	43.0	31	33	23.0	60	57
1571	806896	55	54	30.0	57	60	26.0	72	71.0	43	47	64	74	44	43.0	56	55	24.0	65	64
1572	806897	25	20	22.0	28	35	18.0	41	28.0	41	48	31	55	33	33.0	21	25	17.0	48	49
1573	806898	43	42	26.0	44	48	27.0	43	42.0	34	47	25	53	38	42.0	28	36	21.0	61	57
1574	806900	55	60	30.0	55	59	27.0	65	67.0	48	39	56	75	42	42.0	56	41	29.0	67	58
1575	806902	52	59	30.0	50	57	28.0	70	64.0	43	49	55	75	38	41.0	59	52	30.0	61	60
1576	806904	37	37	24.0	32	47	28.0	68	66.0	48	50	25	50	39	44.0	25	42	24.0	67	57
1577	806906	39	31	25.0	27	37	26.0	41	26.0	39	43	49	73	28	39.0	38	27	23.0	57	52
1578	806909	30	51	24.0	32	46	25.0	47	42.0	43	44	41	75	42	40.0	26	43	26.0	60	63
1579	806911	52	56	30.0	47	58	26.0	61	67.0	43	45	61	75	46	41.0	51	50	23.0	66	59
1580	806913	53	54	30.0	54	58	26.0	68	70.0	47	49	54	75	44	43.0	58	46	20.0	62	59
1581	806915	55	52	30.0	55	59	27.0	68	69.0	46	49	68	75	43	45.0	58	52	18.0	64	61
1582	806917	53	58	28.0	49	58	25.0	47	59.0	45	50	51	72	41	40.0	49	44	23.0	64	63
1583	806918	44	53	25.0	44	54	21.0	60	47.0	46	47	35	63	35	42.0	46	37	18.0	64	53
1584	806919	33	39	23.0	22	39	24.0	47	33.0	42	43	25	37	40	41.0	23	25	21.0	57	53
1585	806920	37	49	25.0	33	51	22.0	60	50.0	44	48	25	55	17	42.0	30	41	19.0	58	61
1586	806921	50	55	26.0	48	54	26.0	60	59.0	42	46	42	64	39	45.0	41	41	23.0	62	63
1587	806922	28	31	18.0	20	37	20.0	43	25.0	40	43	25	43	20	32.0	26	26	14.0	53	47
1588	806923	56	59	29.0	52	59	26.0	70	68.0	44	46	65	66	44	43.0	52	50	30.0	62	62
1589	806925	36	53	24.0	33	41	24.0	53	37.0	39	40	33	51	29	34.0	30	31	21.0	60	46
1590	806927	44	42	26.0	41	51	26.0	45	50.0	35	43	41	65	34	38.0	28	38	22.0	52	52
1591	806929	39	38	23.0	36	48	26.0	50	32.0	41	45	46	67	37	28.0	36	25	21.0	56	45
1592	806931	36	39	23.0	41	54	25.0	58	37.0	39	46	32	71	36	37.0	33	29	20.0	56	55
1593	806932	38	11	17.0	24	30	20.0	50	32.0	39	36	33	41	32	33.0	20	20	15.0	40	55
1594	806933	49	52	23.0	42	53	26.0	62	64.0	46	45	41	68	38	42.0	37	43	21.0	59	56
1595	806934	46	50	24.0	48	51	26.0	60	55.0	42	45	45	70	43	44.0	43	41	17.0	62	62
1596	806935	55	59	30.0	52	60	28.0	62	63.0	43	45	60	74	41	45.0	50	48	23.0	65	62
1597	806936	48	60	30.0	56	58	28.0	69	59.0	47	49	69	70	43	42.0	53	48	30.0	61	60
1598	806937	56	58	29.0	55	60	28.0	67	70.0	42	48	73	75	44	44.0	58	54	28.0	63	60
1599	806938	56	60	30.0	53	60	28.0	73	62.0	47	48	70	75	46	45.0	58	48	27.0	66	64
1600	806939	44	51	29.0	47	57	24.0	66	61.0	39	49	56	74	41	40.0	46	25	29.0	64	60
1601	806940	48	50	25.0	47	56	25.0	56	53.0	42	49	46	75	33	41.0	56	31	22.0	58	57
1602	806941	48	60	29.0	49	60	27.0	68	67.0	46	46	63	71	43	39.0	58	45	25.0	66	62
1603	806942	35	41	27.0	44	58	27.0	57	67.0	44	46	25	64	41	42.0	29	36	21.0	67	61
1604	806943	49	45	23.0	44	47	27.0	64	63.0	43	46	36	69	40	43.0	53	38	22.0	66	58
1605	806944	54	60	30.0	58	57	29.0	70	71.0	42	50	70	73	39	45.0	53	53	24.0	64	63
1606	806945	45	54	23.0	38	39	21.0	49	45.0	37	46	38	73	40	41.0	40	54	27.0	48	60
1607	806947	35	26	24.0	25	30	21.0	55	43.0	36	44	25	62	34	37.0	20	34	21.0	36	55
1608	806946	25	30	21.0	22	32	22.0	44	36.0	41	46	29	56	26	43.0	20	34	21.0	37	58
1609	806948	29	33	24.0	22	27	22.0	43	47.0	33	45	27	66	24	39.0	20	46	25.0	25	56
1610	806949	33	37	20.0	29	29	22.0	50	47.0	34	43	25	63	18	39.0	39	47	23.0	31	61
1611	806950	33	37	23.0	30	28	23.0	43	39.0	40	45	30	60	24	35.0	27	39	21.0	41	53
1612	806951	34	44	23.0	39	30	22.0	50	44.0	43	42	44	59	28	38.0	31	49	26.0	56	55
1613	806952	31	32	21.0	27	24	21.0	48	28.0	44	38	29	54	21	37.0	32	47	20.0	38	53
1614	806953	41	34	21.0	38	26	23.0	43	26.0	39	38	38	64	22	43.0	31	39	22.0	45	57
1615	806954	32	44	25.0	28	25	23.0	47	56.0	46	43	39	65	40	42.0	25	50	20.0	59	62
1616	806955	27	30	26.0	27	24	21.0	56	58.0	38	44	34	63	22	40.0	23	42	26.0	49	58
1617	806956	49	33	22.0	36	24	21.0	45	47.0	44	45	34	72	33	40.0	36	35	25.0	43	63
1618	806972	26	34	22.0	20	22	21.0	43	58.0	46	47	25	52	28	34.0	23	44	22.0	52	64
1619	806974	54	46	28.0	41	27	24.0	48	37.0	41	47	52	69	38	43.0	35	43	26.0	61	63
1620	806975	54	36	26.0	40	30	24.0	52	37.0	41	37	50	64	25	39.0	25	41	26.0	53	55
1621	806976	51	37	22.0	42	40	23.0	51	40.0	48	46	35	66	31	38.0	38	41	26.0	55	59
1622	806977	27	33	23.0	36	31	22.0	21	25.0	43	41	25	63	25	31.0	25	29	22.0	40	50
1623	806978	28	25	24.0	20	21	23.0	43	26.0	36	30	25	63	17	30.0	41	38	23.0	49	55
1624	806979	27	33	21.0	29	25	20.0	34	30.0	32	31	35	33	18	34.0	40	27	22.0	48	44
1625	806980	31	29	26.0	32	31	23.0	41	18.0	41	38	34	54	19	35.0	23	37	23.0	55	48
1626	806981	26	31	27.0	28	28	26.0	38	25.0	44	39	40	57	17	36.0	44	40	27.0	52	44
1627	806982	46	34	28.0	25	30	24.0	41	28.0	47	39	25	61	29	42.0	27	33	21.0	46	57
1628	806983	38	32	26.0	32	32	23.0	31	38.0	37	44	25	65	17	43.0	20	48	21.0	44	50
1629	806984	44	38	24.0	36	32	26.0	44	46.0	43	45	60	73	34	43.0	27	52	21.0	56	58
1630	806985	41	39	24.0	33	30	23.0	29	46.0	46	44	34	67	31	37.0	36	49	22.0	42	61
1631	806986	23	36	25.0	20	31	23.0	17	28.0	36	43	32	70	23	37.0	20	46	23.0	39	60
1632	806987	45	46	25.0	32	29	23.0	46	38.0	48	44	50	69	32	36.0	36	50	25.0	46	56
1633	806988	38	44	23.0	20	26	28.0	38	32.0	45	44	32	64	24	36.0	29	37	27.0	38	62
1634	806989	51	56	23.0	48	43	23.0	48	45.0	48	50	50	71	39	42.0	43	55	27.0	57	65
1635	806990	52	46	22.0	33	40	24.0	52	32.0	47	46	46	71	40	40.0	32	39	22.0	53	57
1636	806991	48	46	21.0	34	40	23.0	45	44.0	45	43	33	71	38	41.0	29	39	28.0	47	60
1637	806992	50	51	23.0	41	44	24.0	63	49.0	48	46	35	67	38	43.0	40	42	26.0	55	65
1638	806993	40	44	23.0	35	43	23.0	57	45.0	48	44	43	70	27	41.0	27	40	21.0	48	65
1639	806994	42	39	30.0	32	38	23.0	60	45.0	45	44	40	70	26	40.0	20	35	21.0	36	50
1640	806995	40	41	28.0	37	44	21.0	28	41.0	37	47	26	72	17	39.0	23	39	23.0	28	59
1641	806996	56	56	25.0	51	46	21.0	63	55.0	46	48	63	73	27	39.0	45	52	30.0	52	64
1642	806997	47	56	25.0	46	47	24.0	58	53.0	41	48	45	71	29	41.0	35	47	19.0	39	60
1643	806998	40	51	21.0	38	45	20.0	59	52.0	46	42	46	70	29	34.0	37	49	18.0	48	56
1644	806999	41	47	20.0	35	37	18.0	41	39.0	47	43	38	61	34	37.0	33	36	23.0	47	61
1645	807000	40	40	22.0	32	41	20.0	55	46.0	44	41	39	64	33	31.0	31	35	19.0	51	49
1646	807001	39	30	23.0	25	40	23.0	44	41.0	38	40	43	68	26	36.0	24	35	17.0	41	58
1647	807002	45	48	22.0	32	40	18.0	46	39.0	38	38	47	74	29	37.0	30	27	22.0	39	58
1648	807003	33	34	21.0	22	33	20.0	37	31.0	42	37	28	62	20	34.0	20	25	20.0	41	51
1649	807004	39	32	22.0	22	36	19.0	50	32.0	44	36	35	64	26	30.0	20	36	18.0	48	56
1650	807005	41	37	25.0	24	37	21.0	36	28.0	39	40	25	62	27	35.0	29	38	27.0	51	56
1651	807006	40	48	23.0	29	30	22.0	32	32.0	43	37	29	65	24	31.0	27	37	22.0	47	60
1652	807007	39	45	23.0	28	42	20.0	48	38.0	42	40	25	63	23	38.0	32	45	28.0	51	65
1653	807008	37	37	20.0	26	34	22.0	44	40.0	38	35	31	55	21	34.0	31	48	20.0	53	55
1654	807009	36	46	21.0	30	41	21.0	46	38.0	44	41	47	67	24	41.0	30	41	27.0	46	62
1655	807010	25	35	24.0	26	39	23.0	45	43.0	39	34	41	51	23	38.0	22	32	26.0	41	55
1656	807011	43	45	23.0	38	41	21.0	59	46.0	44	38	34	66	30	36.0	32	50	26.0	50	61
1657	807053	33	50	23.0	22	45	22.0	50	45.0	40	44	38	61	29	43.0	23	34	22.0	64	63
1658	807055	51	54	30.0	43	54	28.0	70	68.0	49	50	66	74	46	45.0	51	48	30.0	65	65
1659	807056	44	49	30.0	41	55	27.0	67	68.0	48	48	61	74	45	46.0	43	53	30.0	64	66
1660	807057	44	45	28.0	20	55	23.0	54	57.0	48	48	62	73	41	43.0	36	51	29.0	63	65
1661	807058	56	56	26.0	55	53	28.0	68	61.0	48	48	69	73	39	43.0	50	55	30.0	64	65
1662	807059	43	46	23.0	28	36	24.0	49	57.0	46	48	39	67	34	41.0	30	32	19.0	60	62
1663	807060	57	45	22.0	47	46	24.0	66	64.0	48	48	63	72	37	46.0	41	44	18.0	60	58
1664	807061	55	54	24.0	50	51	23.0	70	62.0	48	46	62	72	40	45.0	42	48	21.0	65	62
1665	807062	36	39	20.0	37	43	23.0	57	49.0	45	42	26	57	37	35.0	37	37	22.0	57	58
1666	807063	39	55	23.0	45	48	24.0	61	65.0	44	48	56	70	45	41.0	37	46	21.0	60	63
1667	807064	33	37	21.0	21	38	24.0	56	48.0	43	50	41	73	31	44.0	29	43	20.0	56	59
1668	807065	39	53	25.0	46	40	24.0	61	50.0	49	46	62	72	36	42.0	33	38	24.0	59	61
1669	807066	20	26	23.0	30	20	24.0	52	47.0	41	46	25	54	32	37.0	36	25	24.0	60	62
1670	807067	35	24	23.0	39	22	25.0	57	39.0	48	45	55	68	40	38.0	34	29	25.0	64	65
1671	807068	30	37	22.0	20	43	22.0	48	48.0	44	44	25	60	39	36.0	20	35	25.0	47	64
1672	807069	42	40	24.0	39	40	23.0	59	59.0	49	49	54	65	47	44.0	29	40	30.0	60	63
1673	807070	34	39	26.0	33	31	22.0	56	56.0	49	47	32	66	44	46.0	30	30	24.0	64	62
1674	807071	46	41	25.0	39	47	23.0	67	51.0	48	50	59	71	45	43.0	31	41	27.0	64	68
1675	807076	37	18	24.0	24	29	25.0	50	44.0	42	35	25	30	29	30.0	25	20	24.0	57	57
1676	807077	12	20	25.0	28	10	25.0	42	34.0	34	38	16	34	28	35.0	31	14	23.0	47	55
1677	807078	47	38	26.0	34	22	26.0	60	49.0	47	46	32	71	32	44.0	33	26	27.0	57	61
1678	807091	21	26	24.0	25	41	21.0	33	37.0	42	43	31	44	25	38.0	31	49	22.0	59	65
1679	807101	20	20	19.0	22	37	22.0	45	27.0	38	46	33	51	37	36.0	30	46	23.0	48	58
1680	807103	44	17	19.0	37	29	20.0	50	33.0	45	47	35	50	41	34.0	37	40	16.0	52	61
1681	807118	31	26	0.0	34	41	0.0	38	34.0	37	28	26	25	32	40.0	30	40	0.0	50	63
1682	807120	20	20	24.0	21	36	22.0	46	35.0	47	40	36	58	31	36.0	34	53	15.0	60	62
1683	807121	25	20	13.0	21	36	21.0	55	37.0	46	44	38	49	25	30.0	35	50	15.0	65	58
1684	807122	26	20	22.0	25	35	19.0	43	42.0	36	41	17	54	35	32.0	20	47	16.0	49	54
1685	807123	38	13	21.0	39	36	17.0	41	30.0	31	42	25	47	31	28.0	20	48	15.0	57	57
1686	807124	15	16	23.0	31	33	22.0	36	31.0	22	43	25	62	37	29.0	20	46	21.0	40	54
1687	807132	17	29	0.0	23	25	0.0	49	53.0	37	38	26	39	35	40.0	28	27	0.0	51	62
1688	807142	31	16	17.0	23	41	19.0	25	26.0	38	36	26	55	19	35.0	25	49	15.0	47	47
1689	807143	34	17	16.0	23	27	20.0	49	25.0	37	39	12	34	22	35.0	29	45	24.0	50	49
1690	807148	21	24	18.0	20	15	23.0	37	16.0	29	45	19	40	21	29.0	16	49	13.0	36	54
1691	807149	29	20	16.0	20	27	23.0	26	18.0	39	43	18	42	25	26.0	20	51	15.0	37	47
1692	807150	28	27	21.0	22	38	25.0	29	15.0	37	40	25	47	18	31.0	22	49	12.0	37	62
1693	807151	21	29	19.0	25	33	21.0	28	33.0	45	42	28	54	21	37.0	20	51	14.0	43	61
1694	807165	40	52	30.0	32	47	28.0	59	63.0	48	45	71	63	39	44.0	36	59	30.0	66	68
1695	807166	36	22	27.0	44	36	28.0	52	54.0	45	46	35	71	36	42.0	32	42	27.0	67	68
1696	807167	24	36	29.0	24	43	25.0	47	48.0	46	41	33	65	37	45.0	21	47	25.0	64	64
1697	807168	43	41	21.0	34	42	24.0	50	57.0	43	48	48	69	36	45.0	31	48	25.0	63	64
1698	807171	28	49	21.0	20	46	23.0	50	55.0	43	44	27	73	36	40.0	20	49	23.0	59	63
1699	807172	30	45	23.0	20	46	22.0	49	56.0	45	45	35	74	40	41.0	31	55	26.0	62	63
1700	807173	42	42	30.0	29	51	22.0	45	57.0	44	44	62	75	40	28.0	35	56	24.0	55	59
1701	807174	40	50	29.0	35	44	23.0	60	67.0	48	45	38	70	39	33.0	31	44	25.0	68	55
1702	807175	20	25	25.0	20	31	22.0	38	46.0	29	44	29	68	30	33.0	27	47	17.0	56	55
1703	807176	26	37	26.0	47	41	23.0	48	45.0	44	45	26	69	33	36.0	22	47	24.0	64	63
1704	807177	27	38	23.0	23	40	22.0	45	42.0	48	46	38	69	30	37.0	22	52	24.0	59	61
1705	807182	29	42	26.0	20	39	23.0	48	54.0	38	50	34	74	39	49.0	29	52	28.0	57	66
1706	807183	57	59	30.0	51	55	26.0	60	66.0	48	50	68	74	41	47.0	53	48	30.0	67	68
1707	807184	51	57	29.0	43	54	22.0	50	60.0	39	48	64	74	39	47.0	46	52	30.0	65	63
1708	807185	40	55	26.0	25	47	23.0	44	58.0	43	44	29	66	37	46.0	36	45	28.0	54	59
1709	807186	45	55	25.0	29	52	23.0	49	70.0	49	46	65	72	43	46.0	40	47	29.0	63	65
1710	807187	34	26	26.0	24	34	24.0	42	34.0	34	46	47	71	28	37.0	31	41	26.0	56	60
1711	807188	34	52	20.0	20	51	23.0	48	53.0	41	48	48	74	34	46.0	30	49	26.0	54	65
1712	807189	24	30	23.0	35	40	27.0	31	39.0	25	46	29	70	29	45.0	11	49	26.0	49	64
1713	807191	37	21	25.0	20	30	20.0	57	44.0	40	39	30	55	31	33.0	25	46	23.0	55	57
